==========================================================================================================
 REPORTE COMPARATIVO 30 REPETICIONES: Heurística vs Búsqueda Local (LS) vs Búsqueda Local Iterada (ILS)
==========================================================================================================
Archivo                            | Costo H | T. H(s) | Costo LS| T. LS(s)| Costo ILS| T. ILS(s)| Gap H-I%
uf175-083.cnf                      | 32.00   | 0.0003  | 14.00   | 0.0040  | 7.67     | 0.0482   | 76.0 %
uf175-084.cnf                      | 29.00   | 0.0003  | 15.00   | 0.0036  | 7.83     | 0.0498   | 73.0 %
uf175-086.cnf                      | 29.00   | 0.0003  | 15.00   | 0.0035  | 9.23     | 0.0480   | 68.2 %
uf175-088.cnf                      | 31.00   | 0.0003  | 18.00   | 0.0037  | 7.57     | 0.0481   | 75.6 %
uf175-087.cnf                      | 34.00   | 0.0003  | 17.00   | 0.0040  | 9.60     | 0.0494   | 71.8 %
uf175-091.cnf                      | 26.00   | 0.0003  | 16.00   | 0.0030  | 6.23     | 0.0454   | 76.0 %
uf175-092.cnf                      | 29.00   | 0.0003  | 15.00   | 0.0029  | 6.60     | 0.0412   | 77.2 %
uf175-093.cnf                      | 23.00   | 0.0003  | 13.00   | 0.0021  | 9.20     | 0.0433   | 60.0 %
uf175-094.cnf                      | 25.00   | 0.0003  | 16.00   | 0.0025  | 9.90     | 0.0380   | 60.4 %
uf175-097.cnf                      | 20.00   | 0.0002  | 10.00   | 0.0009  | 5.97     | 0.0141   | 70.2 %
uf175-095.cnf                      | 29.00   | 0.0003  | 16.00   | 0.0013  | 7.03     | 0.0172   | 75.7 %
uf175-099.cnf                      | 25.00   | 0.0002  | 12.00   | 0.0009  | 6.57     | 0.0135   | 73.7 %
uf175-098.cnf                      | 25.00   | 0.0002  | 16.00   | 0.0009  | 10.10    | 0.0159   | 59.6 %
uf175-096.cnf                      | 32.00   | 0.0002  | 16.00   | 0.0015  | 10.07    | 0.0173   | 68.5 %
uf175-0100.cnf                     | 24.00   | 0.0002  | 18.00   | 0.0005  | 8.73     | 0.0107   | 63.6 %
==========================================================================================================
